Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
MK064563	Alphalipothrixvirus SBFV2	Alphalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
MH447526	Alphalipothrixvirus SFV1	Alphalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AM087120	Acidianus filamentous virus 3	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AM087121	Acidianus filamentous virus 6	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AM087122	Acidianus filamentous virus 7	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AM087123	Acidianus filamentous virus 8	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
EU545650	Acidianus filamentous virus 9	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AF440571	Sulfolobus islandicus filamentous virus	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AJ854042	Acidianus filamentous virus 2	Deltalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
MK064564	Deltalipothrixvirus SBFV3	Deltalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
FM164764	Azorudivirus SRV	Azorudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
KP282675	Hoswirudivirus ARV2	Hoswirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
MN876842	Hoswirudivirus ARV3	Hoswirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
MN876843	Hoswirudivirus MRV1	Hoswirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
MN876841	Hoswirudivirus SSRV1	Hoswirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AJ414696	Icerudivirus SIRV1	Icerudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AJ344259	Icerudivirus SIRV2	Icerudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
KX712143	Icerudivirus SIRV3	Icerudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
AJ875026	Itarudivirus ARV1	Itarudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
MK064565	Japarudivirus SBRV1	Japarudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
JX944686	Mexirudivirus SMRV1	Mexirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
