Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_MK064563	Alphalipothrixvirus SBFV2	Alphalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_MH447526	Alphalipothrixvirus SFV1	Alphalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_AM087120	Acidianus filamentous virus 3	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_AM087121	Acidianus filamentous virus 6	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_AM087122	Acidianus filamentous virus 7	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_AM087123	Acidianus filamentous virus 8	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_EU545650	Acidianus filamentous virus 9	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_AF440571	Sulfolobus islandicus filamentous virus	Betalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_AJ854042	Acidianus filamentous virus 2	Deltalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_MK064564	Deltalipothrixvirus SBFV3	Deltalipothrixvirus	NA	Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_FM164764	Azorudivirus SRV	Azorudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_KP282675	Hoswirudivirus ARV2	Hoswirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
Reference_MN876842	Hoswirudivirus ARV3	Hoswirudivirus	NA	Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria	
